,A,B,C,D,E,F,G,H
v822,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v823,0.0,0.1,0.4,1.0,0.2,0.0,0.0,1.0
v824,0.0,0.3,0.6,0.9,0.6,0.1,0.0,0.9
v825,0.2,1.0,0.4,0.5,0.3,0.0,0.4,0.3
v826,0.0,1.0,0.5,0.5,0.7,0.3,0.0,0.0
v827,0.3,0.2,0.6,0.2,1.0,0.2,0.3,0.2
v828,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
v829,0.3,0.4,0.6,0.6,0.6,0.5,0.4,0.6
v830,0.0,0.6,,,,0.4,,
v831,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v832,0.1,0.9,0.6,0.5,0.6,0.3,0.1,0.5
v833,0.1,0.5,1.0,0.2,0.3,0.1,0.2,0.4
v834,1.0,0.0,0.4,0.1,0.4,0.2,0.2,0.1
v835,0.0,1.0,0.7,0.8,0.8,0.6,0.2,0.8
v836,0.0,0.5,0.5,0.8,0.4,0.0,0.0,0.6
v837,0.1,0.9,0.8,0.5,0.8,0.5,0.1,0.5
v838,0.2,0.3,0.3,0.3,0.2,0.3,0.3,0.2
v839,0.1,0.7,0.9,,,,,
v840,0.7,0.3,0.5,0.5,0.5,0.5,0.5,0.5
v841,,0.6,0.5,,0.4,,0.8,
v842,0.9,0.0,0.3,0.1,0.0,0.1,0.1,0.0
v843,1.0,0.1,0.3,0.1,0.1,0.7,0.8,0.1
v844,0.0,1.0,0.7,0.4,0.4,0.2,0.0,0.6
v845,0.2,0.8,0.5,0.5,0.6,0.0,0.2,0.5
v846,0.1,0.4,1.0,0.4,0.3,0.1,0.1,0.7
v847,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
v848,0.0,0.7,0.8,0.8,0.6,0.0,0.0,1.0
v849,0.0,0.5,0.9,0.2,0.4,0.0,0.4,0.4
v850,1.0,0.0,0.0,0.0,0.0,0.5,0.8,0.0
v851,0.1,0.4,0.7,0.2,0.9,0.1,0.1,0.3
v852,0.7,0.2,0.4,0.1,0.1,0.5,0.1,0.1
v853,0.0,1.0,0.5,0.5,0.5,0.0,0.3,0.3
v854,0.6,0.1,0.2,0.4,0.6,0.1,0.6,0.4
v855,0.8,0.1,0.1,0.1,0.1,0.1,0.6,0.1
v856,0.0,1.0,1.0,1.0,0.6,0.0,,1.0
v857,0.2,0.5,,0.2,,,0.4,
v858,0.0,0.7,0.7,0.6,0.4,0.0,0.0,0.6
v859,0.0,0.5,0.6,0.3,0.2,0.4,0.5,0.2
v860,0.0,1.0,0.7,0.7,0.8,0.2,0.0,0.7
v861,0.2,0.5,0.5,0.5,0.4,0.5,,0.5
v862,1.0,0.1,0.2,0.0,0.3,0.3,0.4,0.0
v863,0.0,0.9,0.8,0.8,0.5,0.0,0.0,0.7
v864,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.2
v865,0.6,0.3,0.2,0.3,0.4,0.7,0.3,0.4
v866,1.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0
v867,0.2,0.2,0.7,0.2,1.0,0.1,0.1,0.3
v868,0.0,0.6,0.9,0.5,0.4,0.0,0.0,0.5
v869,0.0,0.8,0.6,0.6,0.6,0.0,0.0,0.6
v870,0.5,0.6,0.4,0.5,0.7,0.5,0.7,0.4
v871,1.0,0.0,0.1,0.1,0.5,0.5,0.5,0.2
v872,0.0,1.0,0.8,0.8,0.7,0.0,0.0,0.7
v873,0.8,0.1,0.4,0.2,0.6,0.2,0.1,0.2
v874,0.2,0.3,0.2,0.1,0.4,1.0,0.4,0.1
v875,0.7,0.2,0.4,0.2,,,,
v876,1.0,1.0,1.0,1.0,1.0,0.7,1.0,1.0
v877,0.0,0.8,0.4,0.2,0.2,0.0,0.0,0.3
v878,0.4,0.4,0.5,0.6,0.5,0.5,0.5,0.4
v879,0.8,0.1,,0.1,,0.3,0.2,
v880,0.0,0.6,0.6,0.4,0.4,0.5,0.3,0.5
v881,0.3,0.6,0.5,0.5,,,,
v882,1.0,0.0,0.2,0.0,0.3,0.4,0.5,0.0
v883,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v884,0.8,0.2,0.1,0.4,0.3,0.1,0.1,0.4
v885,0.0,0.6,0.2,0.2,0.2,0.0,0.0,0.2
v886,0.0,1.0,0.4,0.4,0.3,0.0,0.2,0.5
v887,1.0,0.0,0.1,0.1,0.4,0.6,0.7,0.0
v888,1.0,0.1,0.1,0.0,0.5,0.8,0.9,0.0
v889,1.0,0.2,0.1,0.2,0.3,0.3,1.0,0.3
v890,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v891,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0
v892,1.0,0.0,0.4,0.0,0.5,0.5,0.5,0.3
v893,0.0,0.9,1.0,1.0,1.0,0.0,0.4,0.8
v894,0.2,0.7,0.6,0.7,0.3,0.2,0.3,0.7
v895,0.5,0.8,0.5,0.7,0.5,0.3,0.5,0.7
v896,0.2,0.7,0.6,0.7,0.6,0.2,0.5,0.6
v897,1.0,0.0,0.3,0.0,0.3,0.3,0.5,0.0
v898,0.3,0.8,0.5,0.5,0.4,0.3,0.1,0.3
v899,0.3,0.7,0.6,0.8,0.7,0.3,0.1,0.8
v900,0.2,0.7,0.4,,0.6,0.7,,
v901,0.2,0.9,1.0,0.4,0.6,0.5,,0.6
v902,0.1,0.7,0.7,0.9,0.6,0.1,0.1,0.9
v903,1.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
v904,0.6,,,0.6,0.7,0.6,0.4,0.5
v905,0.6,0.6,0.4,0.5,0.5,0.4,0.5,0.6
v906,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v907,0.0,1.0,0.5,0.0,0.3,0.7,0.4,0.0
v908,0.6,0.3,1.0,0.4,0.5,0.0,0.4,0.5
v909,0.2,0.7,0.6,0.8,0.5,0.1,0.1,0.8
v910,0.9,0.9,0.1,0.2,0.5,0.2,0.3,0.2
v911,0.9,0.0,0.3,0.0,0.6,0.7,0.1,0.0
v912,0.0,1.0,0.7,0.7,0.7,0.0,,0.7
v913,0.0,1.0,0.8,0.5,0.6,0.0,0.0,0.5
v914,0.0,1.0,0.8,0.8,0.6,0.0,0.0,0.8
v915,0.6,0.1,0.1,0.1,0.3,0.1,0.3,0.1
v916,0.9,0.3,0.2,0.1,0.4,0.7,0.7,0.2
v917,0.1,0.9,0.6,0.4,0.4,0.3,0.5,0.3
v918,0.2,0.7,0.7,0.5,0.7,0.7,0.7,0.7
v919,0.1,0.7,0.4,0.5,0.4,0.0,0.4,0.5
v920,0.8,0.0,0.0,0.1,0.1,0.3,0.6,0.1
v921,1.0,0.1,0.1,0.2,0.1,0.1,0.1,0.2
v922,0.6,0.5,0.5,0.5,0.1,0.2,0.6,0.7
v923,0.0,0.4,0.3,1.0,0.5,0.0,0.0,1.0
v924,0.2,0.5,0.7,0.5,0.4,0.4,0.5,0.3
v925,0.0,0.0,0.0,0.0,,,,
v926,1.0,0.0,0.7,,0.4,0.6,,0.1
v927,1.0,0.1,0.4,0.0,0.0,0.6,0.5,0.0
v928,0.6,0.4,0.6,0.2,0.5,0.6,,
v929,1.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0
v930,0.2,0.6,0.3,0.3,0.4,0.2,0.5,0.5
v931,0.0,1.0,0.8,0.9,0.8,0.0,0.2,0.6
v932,0.8,0.0,0.2,0.0,0.2,0.1,0.2,0.0
v933,0.9,0.3,0.6,0.3,0.5,,,0.5
v934,0.0,0.9,0.4,0.5,0.4,0.5,0.1,0.6
v935,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v936,0.0,1.0,0.8,0.8,0.8,0.0,0.0,0.8
v937,0.0,0.9,0.8,0.5,0.5,0.4,0.0,0.1
v938,0.0,0.8,0.3,0.2,0.2,0.2,0.2,0.3
v939,1.0,0.0,0.2,0.1,0.1,0.1,0.0,0.1
v940,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v941,0.1,0.8,0.6,0.3,0.3,0.0,0.0,0.3
v942,0.8,0.0,0.0,0.0,0.0,0.6,0.6,0.0
v943,1.0,0.1,0.1,0.0,0.5,0.1,0.8,0.0
v944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
v945,0.1,1.0,1.0,0.4,0.6,0.0,0.1,0.5
v946,0.7,0.7,0.6,0.6,0.7,0.6,0.7,0.6
v947,1.0,0.2,0.3,0.3,0.1,0.0,0.2,0.1
v948,0.1,0.4,0.7,0.2,0.6,0.2,0.1,0.2
v949,0.3,0.5,0.4,0.7,0.6,0.5,0.5,0.5
v950,0.0,0.9,0.8,0.6,0.8,0.3,0.0,0.7
v951,0.0,0.0,0.0,0.0,0.0,0.1,,0.0
v952,0.0,0.9,0.9,0.9,0.3,0.0,0.4,0.9
v953,1.0,0.0,0.8,0.0,0.0,0.7,0.8,0.0
v954,0.2,0.5,0.7,0.4,0.4,0.7,0.4,0.4
v955,0.2,0.5,0.5,,,,,
v956,1.0,0.2,0.3,0.1,0.3,0.0,0.4,0.1
v957,0.0,0.0,0.5,0.4,,0.0,0.0,
v958,0.3,0.4,0.5,0.5,0.3,0.2,,0.5
v959,1.0,0.0,0.1,0.0,0.3,0.5,0.4,0.0
v960,0.1,0.9,0.4,0.8,0.4,0.1,0.0,0.4
v961,0.3,0.8,0.7,0.7,0.4,0.1,0.3,0.8
v962,0.2,0.9,0.8,0.3,0.4,0.3,0.2,0.4
v963,0.0,0.6,0.5,0.2,0.4,0.0,0.0,0.3
v964,0.0,0.8,0.8,0.9,,0.0,,0.9
v965,0.0,0.5,0.6,0.4,0.2,0.0,0.0,0.3
v966,0.0,0.3,0.3,0.2,0.3,0.4,0.2,0.2
v967,0.8,0.3,0.5,0.3,0.8,0.5,0.7,0.3
v968,0.1,0.7,0.6,0.8,0.5,0.2,,0.3
v969,0.0,1.0,0.7,0.0,0.0,0.0,0.1,0.0
v970,0.0,0.7,1.0,0.5,1.0,0.9,0.5,0.5
v971,1.0,0.0,0.1,0.0,0.0,0.1,0.1,0.0
v972,1.0,0.1,0.0,0.1,0.0,0.0,0.0,0.0
v973,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
v974,0.2,0.5,0.5,0.5,,0.5,0.5,0.5
v975,0.9,0.1,0.3,0.4,0.4,0.3,0.5,0.4
v976,0.7,0.0,0.4,0.3,0.2,1.0,0.8,0.3
v977,0.0,0.5,0.2,0.4,0.3,0.2,0.2,0.4
v978,0.9,0.1,0.3,0.1,0.5,0.6,0.4,0.1
v979,0.0,1.0,0.6,0.7,0.6,0.0,0.0,0.7
v980,0.1,1.0,0.7,0.5,0.6,0.2,0.4,0.4
v981,0.0,0.8,0.8,1.0,0.8,0.0,0.0,0.9
v982,0.1,0.3,0.3,0.4,0.3,0.1,0.2,0.2
v983,0.8,0.3,0.1,0.1,0.4,0.0,0.6,0.1
v984,0.3,0.8,0.7,0.4,0.7,0.0,0.2,0.3
v985,0.1,0.2,0.5,0.1,0.2,0.3,0.2,0.1
v986,0.5,0.4,0.5,0.4,0.6,0.7,,0.4
v987,0.9,0.3,0.3,0.3,0.3,0.3,0.3,0.3
v988,0.1,0.7,0.3,,,,,
v989,0.6,0.4,0.5,0.4,0.5,0.0,0.3,0.5
v990,0.3,0.4,0.4,0.4,0.4,0.1,0.1,0.0
v991,0.1,0.8,0.8,0.7,0.7,0.1,0.1,0.7
v992,0.7,0.4,0.4,0.2,0.4,0.4,0.3,0.3
v993,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v994,0.1,0.4,1.0,0.3,0.7,0.0,0.0,0.6
v995,0.6,0.5,0.8,0.7,0.5,0.6,0.5,0.6
v996,0.6,0.9,0.2,0.6,0.4,0.2,0.6,0.5
v997,0.4,0.4,0.4,0.6,0.5,0.4,0.7,0.4
v998,0.5,0.3,0.3,0.3,0.3,0.3,0.3,0.3
v999,1.0,0.0,0.4,0.1,0.5,0.7,0.3,0.1
v1000,1.0,0.0,0.3,0.0,0.4,0.6,0.7,0.0
v1001,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v1002,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
v1003,0.0,0.7,0.2,0.2,0.2,0.2,0.3,0.3
v1004,1.0,0.0,0.2,0.5,0.3,0.3,0.3,0.4
v1005,0.1,0.6,0.7,0.5,0.9,0.0,0.1,0.6
v1006,0.0,0.7,0.8,0.7,0.8,0.0,0.0,0.0
v1007,0.0,0.8,0.8,0.9,0.5,0.0,0.0,0.9
v1008,0.9,0.0,0.1,0.0,0.0,0.5,0.2,0.5
v1009,0.9,0.0,0.1,0.1,0.2,1.0,0.7,0.0
v1010,0.0,0.0,0.0,0.0,0.0,1.0,0.4,0.0
v1011,0.2,0.6,0.5,0.5,0.4,0.4,0.3,0.5
v1012,0.0,1.0,0.7,0.4,0.5,0.0,0.3,0.3
v1013,0.0,0.5,0.8,0.5,0.7,0.4,0.0,0.5
v1014,0.8,0.4,0.6,0.3,0.3,0.2,0.4,0.3
v1015,0.8,0.8,0.8,0.9,0.8,0.9,0.9,1.0
v1016,0.2,0.7,1.0,0.7,0.7,0.0,0.0,0.7
v1017,0.6,0.6,0.6,0.5,0.8,0.3,0.5,0.7
v1018,1.0,0.0,0.1,0.1,0.2,0.4,0.8,0.2
v1019,0.1,0.7,1.0,0.2,1.0,0.1,0.1,0.4
v1020,0.0,0.7,0.8,1.0,0.8,0.0,0.0,1.0
v1021,0.0,0.6,0.8,,0.7,0.0,,0.7
v1022,0.0,0.8,0.7,0.8,0.3,0.0,0.5,0.8
v1023,0.1,0.6,0.7,0.5,0.5,0.6,0.4,0.6
v1024,1.0,0.0,0.0,0.0,0.0,0.6,,0.0
v1025,0.3,0.2,0.2,0.0,0.4,0.3,0.8,0.0
v1026,0.1,0.6,0.9,0.4,0.7,0.2,0.3,0.5
v1027,0.9,0.4,0.2,0.2,0.5,0.1,0.5,0.2
v1028,0.1,0.8,0.7,0.7,0.8,0.7,0.1,0.7
v1029,0.0,0.7,0.9,0.6,0.3,0.0,0.0,0.6
v1030,1.0,0.0,0.0,0.0,0.3,0.5,,0.0
v1031,0.9,0.0,0.2,0.0,0.4,0.6,0.8,0.0
v1032,1.0,0.0,0.3,0.1,0.1,0.7,0.0,0.1
v1033,1.0,0.0,0.1,0.0,0.0,0.0,0.9,0.0
v1034,1.0,0.4,0.5,0.3,0.5,0.2,0.3,0.3
v1035,0.1,0.9,0.7,0.9,0.7,0.1,0.0,1.0
v1036,0.2,0.3,0.4,0.3,0.4,0.6,0.3,0.4
v1037,0.7,0.2,0.1,0.2,0.2,0.2,0.2,0.2
v1038,0.1,1.0,0.5,0.6,0.5,0.1,0.1,0.5
v1039,0.2,1.0,0.5,0.7,0.3,0.1,0.4,0.4
v1040,0.1,0.6,0.6,0.6,0.6,0.2,0.3,0.5
v1041,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v1042,0.7,0.5,0.4,0.3,0.3,0.5,0.2,0.4
v1043,0.0,0.0,0.5,0.6,0.6,0.7,0.0,0.7
v1044,0.0,0.4,0.6,0.3,0.3,0.0,0.4,0.3
v1045,0.0,0.8,0.8,0.9,0.6,0.2,0.0,0.9
v1046,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v1047,0.0,0.9,0.8,0.8,0.8,0.2,0.0,0.8
v1048,1.0,0.2,0.7,0.2,0.3,0.3,0.9,0.2
v1049,0.1,1.0,0.2,0.4,0.2,0.0,0.2,0.4
v1050,0.9,0.7,0.6,0.7,0.6,0.7,0.7,0.6
v1051,0.1,0.5,0.2,1.0,0.2,0.0,0.0,1.0
v1052,0.7,0.3,,,0.5,,,
v1053,0.2,0.7,0.9,0.6,0.4,0.5,0.2,0.7
v1054,0.1,0.4,0.7,0.1,0.3,0.3,0.1,0.2
v1055,0.1,0.9,0.9,0.9,0.9,0.0,0.0,0.9
v1056,0.5,0.1,0.2,0.2,0.4,0.2,0.2,0.2
v1057,0.0,0.8,1.0,0.9,0.8,0.1,0.0,0.8
v1058,1.0,0.7,0.2,0.1,0.2,0.3,0.4,0.3
v1059,0.0,0.8,0.5,0.3,0.3,0.4,0.2,0.4
v1060,0.0,0.9,0.6,0.7,0.4,0.2,0.0,0.7
v1061,0.0,0.8,0.6,0.6,0.6,0.4,0.0,0.6
v1062,0.1,1.0,0.7,0.6,0.7,0.2,0.1,0.7
v1063,1.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1
v1064,0.0,0.8,1.0,0.7,0.6,0.1,0.0,0.7
v1065,0.3,0.6,0.5,0.5,0.6,0.4,0.3,0.5
v1066,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v1067,0.1,1.0,0.8,,0.6,,,0.7
v1068,0.7,0.3,0.3,0.3,0.3,0.3,0.2,0.3
v1069,0.9,0.1,0.1,0.1,0.1,0.1,0.1,0.1
v1070,1.0,0.1,0.3,0.0,0.4,0.4,0.5,0.2
v1071,0.0,0.9,1.0,0.8,0.8,0.0,0.0,0.8
v1072,0.0,0.4,0.5,0.9,0.6,0.3,0.4,0.6
v1073,0.2,0.1,0.1,0.2,0.2,0.9,0.2,0.1
v1074,0.1,0.9,1.0,0.7,0.8,0.0,0.0,0.8
v1075,0.0,1.0,0.5,0.4,0.1,0.2,0.1,0.1
v1076,0.0,0.7,0.0,0.5,0.0,0.0,0.0,0.6
v1077,0.1,0.6,0.6,0.5,0.5,0.9,0.1,0.5
v1078,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
v1079,0.1,0.9,0.5,0.6,0.5,0.1,0.1,0.6
v1080,0.0,1.0,0.9,0.9,0.9,0.0,0.0,0.8
v1081,0.5,0.3,,0.1,,,0.1,0.2
v1082,0.0,1.0,0.4,0.3,0.1,0.2,0.2,0.2
v1083,0.0,0.8,1.0,0.8,0.6,0.4,0.2,0.7
v1084,0.5,0.2,0.3,0.1,0.4,0.2,0.7,0.2
v1085,0.2,0.5,0.4,0.5,0.4,0.4,0.3,0.4
v1086,0.3,0.7,0.7,0.8,0.7,0.5,0.7,0.7
v1087,0.6,0.0,0.0,0.0,0.3,1.0,0.6,0.0
v1088,0.0,1.0,0.5,0.5,0.7,0.5,0.0,0.4
v1089,1.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1
v1090,0.0,0.7,0.7,0.7,0.7,0.0,0.7,0.7
v1091,0.7,0.2,0.1,0.2,0.3,0.5,0.6,0.2
v1092,1.0,0.0,0.0,0.0,0.3,0.1,0.6,0.0
v1093,1.0,0.0,0.3,0.0,0.3,0.0,0.7,0.0
v1094,1.0,0.0,0.4,0.2,0.5,0.8,0.7,0.2
v1095,0.8,0.8,0.8,0.8,0.8,0.8,0.7,0.8
v1096,0.5,,,,,,,
v1097,1.0,0.1,0.1,0.1,0.2,0.0,0.0,0.1
v1098,0.0,1.0,0.6,0.6,0.6,0.0,0.0,0.6
v1099,0.0,0.8,1.0,0.1,0.7,0.7,0.0,0.8
v1100,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v1101,0.0,1.0,0.5,0.5,0.0,0.1,0.5,0.0
v1102,1.0,0.0,0.0,0.0,0.2,0.1,0.1,0.1
v1103,0.0,0.7,1.0,0.3,0.6,0.4,0.5,0.5
v1104,0.0,0.8,0.7,1.0,0.7,0.0,0.0,1.0
v1105,0.2,0.6,0.6,0.5,0.5,0.3,0.4,0.5
v1106,0.0,0.8,0.5,0.2,0.5,0.3,0.0,0.2
v1107,0.2,0.1,0.1,0.1,0.4,0.8,0.1,0.1
v1108,0.5,,,,,,,
v1109,0.5,0.3,,,,,0.5,
v1110,0.1,0.7,0.7,0.9,0.5,0.1,0.0,0.7
v1111,1.0,0.1,0.2,0.1,0.5,0.7,0.7,0.0
v1112,1.0,0.0,0.0,0.0,0.2,0.3,,0.0
v1113,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v1114,0.4,0.1,,,,,,
v1115,0.1,0.9,1.0,0.7,0.7,0.3,0.1,0.8
v1116,0.7,0.0,0.2,0.3,0.2,0.5,0.2,0.3
v1117,0.5,0.2,0.3,0.1,0.5,0.2,0.4,0.1
v1118,1.0,0.0,0.2,0.1,0.4,0.2,0.5,0.4
v1119,0.0,1.0,0.7,0.7,0.5,0.1,0.4,0.4
v1120,0.1,1.0,0.6,0.6,0.5,0.3,0.1,0.5
v1121,1.0,0.1,0.4,0.1,0.5,0.2,0.5,0.2
v1122,0.0,1.0,1.0,1.0,0.9,0.0,0.0,1.0
v1123,1.0,0.5,0.0,0.2,0.2,0.3,0.5,0.2
v1124,0.4,0.0,0.0,0.1,0.4,0.2,0.6,0.4
v1125,0.5,0.7,0.8,0.6,0.6,0.6,0.7,0.7
v1126,0.8,0.4,0.5,0.5,0.5,0.5,0.5,0.5
v1127,0.7,0.0,0.1,0.0,0.3,0.1,0.6,0.1
v1128,0.2,0.9,0.7,0.7,0.7,0.2,0.6,0.8
v1129,0.5,0.3,0.6,0.4,0.4,0.7,0.3,0.6
v1130,0.3,0.4,0.4,0.4,0.5,0.4,0.3,0.4
v1131,1.0,0.2,0.7,0.1,0.6,0.7,0.5,0.2
v1132,1.0,0.0,0.2,0.3,0.0,0.8,0.2,0.1
v1133,0.0,0.4,0.8,1.0,0.6,0.0,0.1,1.0
v1134,0.0,0.9,1.0,0.9,0.7,0.0,0.0,0.9
v1135,0.5,0.0,0.0,0.1,0.1,0.4,0.5,0.0
v1136,0.2,0.3,0.7,0.5,0.6,0.3,0.5,0.6
v1137,0.9,0.0,0.0,0.0,0.0,0.0,0.6,0.0
v1138,0.0,1.0,0.8,0.8,0.7,0.1,0.0,0.8
v1139,1.0,0.0,0.1,0.0,0.2,0.2,0.9,0.0
v1140,0.6,,,,,,,
v1141,0.8,0.0,0.3,0.0,0.2,0.0,0.2,0.0
v1142,0.4,0.3,0.7,0.2,0.5,0.1,0.2,0.2
v1143,0.5,0.6,1.0,0.4,0.8,0.7,0.7,0.5
v1144,0.1,0.8,1.0,0.8,0.6,0.0,0.4,0.6
v1145,0.7,0.1,0.3,0.2,0.5,0.5,0.4,0.4
v1146,1.0,0.0,0.2,0.1,0.3,0.4,0.3,0.0
v1147,1.0,0.1,0.5,0.3,0.4,0.7,0.7,0.3
v1148,0.9,0.1,0.3,0.0,0.4,0.2,0.2,0.0
v1149,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v1150,0.0,0.8,1.0,0.6,0.5,0.4,0.1,0.2
v1151,0.0,0.9,1.0,0.8,1.0,0.0,0.0,0.8
v1152,0.0,0.8,0.6,0.6,0.6,0.0,0.0,0.5
v1153,0.1,0.6,0.6,0.7,0.5,0.2,0.2,0.6
v1154,0.2,0.2,0.2,0.2,0.2,0.0,0.2,0.2
v1155,0.1,0.7,0.8,0.5,0.9,0.3,0.5,0.5
v1156,0.0,0.8,0.2,0.3,,0.7,,
v1157,0.0,0.6,0.8,0.2,0.7,0.2,,0.3
v1158,0.5,0.5,,,,,,
v1159,0.3,0.7,0.8,0.7,0.7,0.2,0.2,0.7
v1160,0.2,0.5,0.6,,,0.0,,
v1161,0.1,0.6,0.4,0.6,0.5,0.4,,0.5
v1162,1.0,0.1,0.0,0.0,0.1,0.2,0.1,0.1
v1163,0.3,0.7,0.6,0.4,0.4,0.1,0.6,0.5
v1164,0.0,0.3,0.7,0.6,0.3,0.6,0.4,0.4
v1165,0.0,0.9,0.6,0.4,0.4,0.8,0.2,0.2
v1166,0.0,0.8,0.4,0.2,0.8,0.0,0.0,0.2
v1167,0.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0
v1168,0.0,0.8,0.2,0.1,0.1,0.2,0.2,0.2
v1169,0.8,0.5,0.5,0.5,0.5,0.3,0.5,0.5
v1170,0.0,1.0,0.7,0.6,0.7,0.0,0.0,0.6
v1171,0.0,0.9,0.8,0.7,0.4,0.3,0.0,0.1
v1172,1.0,0.0,0.0,,,,,0.0
v1173,0.1,0.8,0.6,0.9,0.8,0.2,0.1,0.8
v1174,0.1,0.3,1.0,0.1,0.1,0.1,0.1,0.1
v1175,0.2,0.6,0.8,0.5,0.5,0.2,0.5,0.5
v1176,1.0,0.0,0.1,0.0,0.2,0.3,0.3,0.0
v1177,0.0,0.8,0.8,0.8,0.4,0.0,,0.8
v1178,0.9,0.0,0.8,0.1,0.5,0.4,0.4,0.7
v1179,0.0,0.9,1.0,0.6,0.4,0.7,0.3,0.5
v1180,0.0,1.0,0.4,0.5,0.5,0.0,0.0,0.4
v1181,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
v1182,0.2,0.9,0.8,0.6,0.1,0.2,0.2,0.7
v1183,0.1,0.8,0.5,0.5,0.5,0.5,0.5,0.5
v1184,0.2,0.2,0.2,,0.2,,,
v1185,1.0,0.3,0.2,0.4,0.4,0.4,0.3,0.4
v1186,1.0,0.0,0.1,0.0,0.1,0.1,0.6,0.0
v1187,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.6
v1188,0.7,0.5,0.7,0.6,0.3,0.8,0.6,0.8
v1189,0.0,1.0,0.8,0.5,0.4,0.5,0.4,0.5
v1190,0.5,0.5,0.3,0.4,0.6,0.5,0.5,0.4
v1191,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0
v1192,0.7,0.3,0.4,0.2,0.6,0.5,0.7,0.4
v1193,0.9,0.6,0.6,0.7,0.7,0.6,0.6,0.7
v1194,0.0,0.7,0.6,0.7,0.6,0.1,0.1,0.8
v1195,0.4,0.9,0.8,0.8,0.8,0.9,0.9,0.8
v1196,1.0,0.0,0.1,0.0,0.5,0.1,0.6,0.1
v1197,0.9,0.2,0.2,0.0,0.7,0.5,0.4,0.1
v1198,1.0,0.1,0.1,0.1,0.1,0.6,0.8,0.1
v1199,0.5,0.5,0.7,0.4,0.6,0.5,0.4,0.6
v1200,0.0,0.7,0.3,0.2,0.1,0.0,0.2,0.1
v1201,0.3,0.8,0.7,0.2,0.5,0.6,0.2,0.2
v1202,0.0,0.4,0.6,0.2,0.3,0.9,0.5,0.3
v1203,0.1,0.7,0.5,0.4,0.5,0.3,0.2,0.3
v1204,0.0,1.0,0.5,0.3,0.7,0.0,0.5,0.4
v1205,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2
v1206,0.0,1.0,0.5,0.4,0.3,0.1,0.1,0.5
v1207,0.5,0.3,0.3,0.3,,0.7,,0.3
v1208,1.0,0.0,0.2,0.0,0.3,0.0,1.0,0.0
v1209,0.0,0.6,0.6,0.8,0.6,0.0,0.1,0.5
v1210,0.8,0.4,0.8,0.4,0.5,0.4,0.6,0.3
v1211,0.9,0.1,0.3,0.1,0.3,0.5,0.6,0.2
v1212,1.0,0.1,0.3,0.0,0.5,0.4,0.2,0.0
v1213,0.3,0.7,0.5,0.7,0.3,0.1,0.3,0.5
v1214,0.3,0.7,0.8,0.5,0.4,0.4,0.4,0.4
v1215,0.1,0.8,0.8,0.8,0.9,0.2,0.2,0.9
v1216,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0
v1217,0.8,0.2,0.3,0.1,0.6,0.5,0.5,0.1
v1218,0.8,0.1,0.1,0.1,0.5,0.7,0.6,0.1
v1219,0.3,0.1,0.5,0.4,0.2,0.1,0.2,0.3
v1220,0.0,0.9,0.7,0.7,0.7,0.1,0.0,0.7
v1221,0.1,,,,,,,
v1222,0.1,0.7,0.3,0.4,0.3,0.3,0.2,0.4
v1223,0.1,0.3,,0.6,,0.0,0.2,0.7
v1224,0.9,0.1,0.3,0.4,0.4,0.6,0.6,0.5
v1225,0.0,0.8,0.2,0.0,0.3,0.2,0.3,0.0
v1226,0.7,0.1,0.1,0.2,0.6,0.2,,0.2
