,A,B
v2416,0.9,0.2
v2417,0.3,0.0
v2418,0.0,1.0
v2419,0.9,0.0
v2420,0.5,0.5
v2421,0.9,0.0
v2422,0.6,0.9
v2423,1.0,0.0
v2424,0.0,0.7
v2425,0.6,0.3
v2426,0.8,0.2
v2427,0.0,0.9
v2428,0.0,0.8
v2429,0.8,0.3
v2430,0.6,0.6
v2431,1.0,0.0
v2432,0.6,0.2
v2433,0.1,0.9
v2434,0.7,0.2
v2435,0.2,1.0
v2436,0.0,0.1
v2437,0.1,0.6
v2438,0.0,0.7
v2439,0.8,0.2
v2440,0.5,0.5
v2441,0.8,0.1
v2442,0.0,0.8
v2443,0.0,1.0
v2444,0.7,0.2
v2445,0.5,0.9
v2446,1.0,0.0
v2447,0.2,0.7
v2448,0.1,0.7
v2449,0.0,0.6
v2450,1.0,0.0
v2451,0.2,0.7
v2452,0.8,0.0
v2453,0.2,0.8
v2454,0.8,0.2
v2455,1.0,0.0
v2456,1.0,0.0
v2457,1.0,1.0
v2458,0.3,0.5
v2459,0.4,0.7
v2460,1.0,0.0
v2461,0.6,0.7
v2462,0.2,0.9
v2463,0.0,0.7
v2464,0.2,0.6
v2465,0.6,0.3
v2466,0.5,0.2
v2467,0.5,0.5
v2468,0.0,0.9
v2469,0.0,0.7
v2470,0.5,0.5
v2471,0.2,0.5
v2472,0.1,0.1
v2473,0.0,0.7
v2474,0.7,0.4
v2475,0.8,0.0
v2476,0.7,0.4
v2477,0.8,0.1
v2478,0.1,0.1
v2479,0.0,0.9
v2480,1.0,0.0
v2481,0.5,0.3
v2482,0.8,0.2
v2483,0.7,0.2
v2484,0.1,0.9
v2485,0.2,0.9
v2486,1.0,0.2
v2487,0.8,0.0
v2488,0.3,0.8
v2489,0.4,0.9
v2490,0.5,0.7
v2491,0.0,0.9
v2492,1.0,0.2
v2493,0.4,0.5
v2494,0.5,0.1
v2495,0.3,0.2
v2496,0.0,0.7
v2497,1.0,0.0
v2498,0.2,0.5
v2499,0.2,0.7
v2500,0.5,0.5
v2501,0.0,1.0
v2502,0.3,0.3
v2503,0.0,0.4
v2504,0.3,0.8
v2505,0.7,0.0
v2506,0.6,0.5
v2507,0.0,1.0
v2508,0.8,0.0
v2509,0.5,0.5
v2510,0.8,0.4
v2511,1.0,0.5
v2512,0.6,0.2
v2513,0.5,0.3
v2514,0.1,0.5
v2515,0.4,0.9
v2516,0.4,0.5
v2517,0.8,0.2
v2518,0.5,0.3
v2519,0.7,0.1
v2520,0.3,0.8
v2521,0.5,0.5
v2522,0.1,0.9
v2523,0.0,1.0
v2524,0.9,0.3
v2525,1.0,0.0
v2526,1.0,0.0
v2527,0.3,0.9
v2528,0.2,0.4
v2529,0.0,0.7
v2530,0.5,0.5
v2531,1.0,0.0
v2532,0.4,0.3
v2533,0.2,0.8
v2534,0.5,0.5
v2535,1.0,0.0
v2536,1.0,1.0
v2537,0.8,0.5
v2538,0.0,1.0
v2539,0.1,0.6
v2540,0.1,0.7
v2541,0.5,0.5
v2542,0.1,0.1
v2543,0.0,1.0
v2544,0.0,0.9
v2545,0.3,0.5
v2546,0.0,0.7
v2547,0.2,0.8
v2548,0.8,0.0
v2549,0.0,1.0
v2550,0.4,0.9
v2551,0.6,0.4
v2552,0.6,0.3
v2553,0.0,0.5
v2554,0.1,0.7
v2555,0.5,0.5
v2556,0.6,0.0
v2557,1.0,0.0
v2558,1.0,0.0
v2559,0.2,0.8
v2560,0.4,0.7
v2561,0.3,0.7
v2562,0.0,0.8
v2563,0.3,0.3
v2564,0.0,0.8
v2565,0.5,0.7
v2566,0.8,0.0
v2567,0.4,0.4
v2568,0.0,0.8
v2569,0.6,0.3
v2570,0.0,1.0
v2571,0.2,1.0
v2572,0.5,0.8
v2573,1.0,0.0
v2574,0.0,1.0
v2575,0.7,0.0
v2576,0.0,0.7
v2577,0.8,0.0
v2578,0.3,0.5
v2579,0.0,0.8
v2580,0.3,0.8
v2581,0.8,0.2
v2582,0.8,0.4
v2583,1.0,0.1
v2584,0.4,0.2
v2585,0.0,1.0
v2586,0.8,0.1
v2587,0.6,0.5
v2588,0.7,0.4
v2589,0.9,0.0
v2590,0.6,0.8
v2591,0.3,1.0
v2592,0.3,0.7
v2593,0.0,0.2
v2594,0.4,0.5
v2595,0.5,0.5
v2596,0.2,0.7
v2597,0.0,0.7
v2598,0.5,0.8
v2599,0.7,0.8
v2600,0.3,0.3
v2601,0.9,0.1
v2602,0.8,0.0
v2603,0.6,0.0
v2604,0.0,0.7
v2605,0.9,0.0
v2606,0.2,0.9
v2607,0.0,0.4
v2608,0.6,0.7
v2609,0.5,1.0
v2610,0.5,0.5
v2611,0.7,0.6
v2612,0.7,0.3
v2613,1.0,0.0
v2614,0.5,0.8
v2615,0.0,0.8
v2616,0.8,0.1
v2617,0.8,0.0
v2618,0.9,0.1
v2619,0.5,0.5
v2620,0.3,0.6
v2621,0.2,0.6
v2622,0.5,0.5
v2623,0.0,1.0
v2624,0.6,0.6
v2625,0.5,0.5
v2626,0.5,0.5
v2627,0.3,0.0
v2628,0.7,0.0
v2629,0.0,1.0
v2630,0.8,0.1
v2631,0.1,1.0
v2632,0.0,0.8
v2633,1.0,0.0
v2634,0.6,0.3
v2635,0.2,0.7
v2636,0.2,0.9
v2637,0.5,0.7
v2638,0.5,0.3
v2639,0.3,1.0
v2640,0.4,0.7
v2641,0.6,1.0
v2642,0.7,0.4
v2643,0.3,0.7
v2644,0.5,0.2
v2645,0.2,1.0
v2646,0.4,0.3
v2647,0.9,0.1
v2648,0.0,1.0
v2649,0.9,0.9
v2650,0.5,0.5
v2651,1.0,0.0
v2652,0.0,0.6
v2653,0.0,0.8
v2654,1.0,0.3
v2655,0.0,1.0
v2656,0.8,0.8
v2657,0.1,0.9
v2658,0.0,0.2
v2659,0.2,0.3
v2660,0.0,0.5
v2661,0.1,0.7
v2662,0.7,0.1
v2663,0.0,0.4
v2664,0.4,0.4
v2665,0.0,0.9
v2666,0.8,0.2
v2667,0.6,0.2
v2668,0.0,0.8
v2669,0.6,0.0
v2670,0.5,0.7
v2671,0.3,0.9
v2672,0.0,1.0
v2673,0.7,0.0
v2674,0.5,1.0
v2675,0.3,0.6
v2676,0.9,0.0
v2677,0.4,0.5
v2678,0.0,0.9
v2679,0.2,0.5
v2680,0.6,0.6
v2681,0.7,0.0
v2682,0.8,0.0
v2683,0.6,0.1
v2684,0.4,0.3
v2685,0.8,0.2
v2686,0.9,0.0
v2687,0.3,0.3
v2688,0.0,0.8
v2689,0.8,0.2
v2690,0.6,0.4
v2691,0.3,0.0
v2692,0.7,0.2
v2693,0.7,0.3
v2694,0.0,0.9
v2695,0.5,0.5
v2696,0.7,0.1
v2697,0.0,0.9
v2698,0.8,0.0
v2699,0.4,0.5
v2700,0.0,0.6
v2701,0.4,0.4
v2702,0.8,0.1
v2703,0.8,1.0
v2704,0.2,0.5
v2705,0.2,0.9
v2706,1.0,0.0
v2707,0.9,0.0
v2708,0.0,1.0
v2709,0.4,0.8
v2710,0.5,0.7
v2711,0.6,0.3
v2712,0.8,0.5
v2713,1.0,0.0
v2714,0.7,0.0
v2715,1.0,0.0
v2716,0.5,0.5
v2717,1.0,0.0
v2718,0.5,0.3
v2719,0.8,0.0
v2720,0.7,0.0
v2721,1.0,0.0
v2722,0.0,0.8
v2723,0.5,0.7
v2724,0.5,0.6
v2725,0.2,0.8
v2726,0.0,1.0
v2727,0.1,0.7
v2728,0.0,0.8
v2729,0.7,0.2
v2730,0.0,0.9
v2731,0.7,0.5
v2732,1.0,0.1
v2733,0.7,0.6
v2734,0.0,0.0
v2735,1.0,0.3
v2736,0.9,0.2
v2737,0.0,0.9
v2738,1.0,0.0
v2739,0.9,0.0
v2740,0.7,0.3
v2741,1.0,0.0
v2742,0.0,0.9
v2743,0.8,0.3
v2744,0.3,0.3
v2745,0.7,0.1
v2746,0.5,0.5
v2747,0.0,0.9
v2748,0.0,0.8
v2749,0.1,0.7
v2750,0.8,0.5
v2751,0.0,1.0
v2752,0.2,1.0
v2753,0.0,0.6
v2754,0.5,0.5
v2755,0.6,0.8
v2756,1.0,0.0
v2757,1.0,0.0
v2758,0.6,0.7
v2759,0.6,0.9
v2760,0.8,0.0
v2761,1.0,0.0
v2762,0.9,0.1
v2763,0.5,0.7
v2764,0.0,1.0
v2765,0.4,0.1
v2766,0.6,0.5
v2767,0.1,0.9
v2768,0.6,0.0
v2769,0.1,0.1
v2770,0.5,0.5
v2771,0.3,0.9
v2772,0.6,0.4
v2773,0.9,0.1
v2774,0.0,1.0
v2775,1.0,0.0
v2776,0.0,1.0
v2777,0.0,0.8
v2778,0.8,0.2
v2779,0.9,0.0
v2780,0.8,0.1
v2781,0.0,0.2
v2782,0.0,1.0
v2783,0.8,0.0
v2784,0.7,0.8
v2785,0.0,1.0
v2786,0.4,0.8
v2787,0.7,0.2
v2788,0.2,1.0
v2789,0.0,0.9
v2790,0.0,1.0
v2791,0.0,1.0
v2792,0.9,0.7
v2793,0.8,0.1
v2794,0.9,0.2
v2795,0.2,0.8
v2796,0.6,0.7
v2797,0.4,0.5
v2798,0.0,0.8
v2799,0.5,0.6
v2800,0.1,0.7
v2801,0.9,0.0
v2802,0.0,0.5
v2803,0.3,0.5
v2804,0.0,0.9
v2805,0.5,0.8
v2806,1.0,0.0
v2807,0.9,0.0
v2808,0.2,0.9
v2809,0.4,0.0
v2810,0.2,0.8
v2811,0.0,0.8
v2812,0.0,1.0
v2813,0.8,0.0
v2814,0.9,0.0
v2815,0.8,0.0
v2816,0.2,0.8
v2817,0.9,0.7
v2818,1.0,0.0
v2819,0.8,0.1
v2820,0.0,0.7
v2821,0.1,1.0
v2822,0.0,0.6
v2823,1.0,0.0
v2824,0.0,0.8
v2825,0.0,0.8
v2826,0.0,1.0
v2827,0.0,0.6
v2828,0.9,0.0
v2829,0.0,0.8
v2830,0.7,0.5
v2831,0.2,0.7
v2832,0.0,0.4
v2833,0.0,1.0
v2834,0.2,0.9
v2835,0.8,0.2
v2836,0.6,0.2
v2837,0.5,0.2
v2838,0.0,0.9
v2839,0.7,0.1
v2840,0.8,0.2
v2841,1.0,0.0
v2842,0.0,0.3
v2843,0.5,0.3
v2844,0.5,0.5
v2845,0.0,0.8
v2846,1.0,0.0
v2847,0.8,0.0
v2848,0.4,0.6
v2849,0.0,0.5
v2850,0.0,1.0
v2851,0.0,1.0
v2852,1.0,0.0
v2853,0.5,0.5
v2854,0.3,0.5
v2855,0.7,0.6
v2856,0.4,0.5
v2857,0.0,0.5
v2858,0.3,0.9
v2859,1.0,0.5
v2860,0.9,0.4
v2861,0.0,0.0
v2862,0.6,1.0
v2863,0.3,0.8
v2864,0.3,0.5
v2865,0.2,1.0
v2866,0.6,0.6
v2867,0.8,0.4
v2868,0.0,0.6
v2869,0.8,0.8
v2870,0.2,0.8
v2871,0.2,0.8
v2872,0.8,0.0
v2873,1.0,0.0
v2874,0.8,0.3
v2875,0.3,0.9
v2876,0.2,1.0
v2877,1.0,0.0
v2878,0.0,0.4
v2879,0.1,0.9
v2880,0.9,0.1
v2881,1.0,0.0
v2882,0.4,1.0
v2883,0.3,0.8
v2884,0.8,0.1
v2885,0.2,0.6
v2886,0.8,0.2
v2887,0.1,0.5
v2888,0.3,0.2
v2889,1.0,0.0
v2890,0.6,0.2
v2891,0.3,0.6
v2892,0.4,0.3
v2893,0.3,0.4
v2894,0.2,0.0
v2895,0.6,0.7
v2896,0.5,0.5
v2897,0.2,0.7
v2898,0.2,1.0
v2899,0.4,0.5
v2900,0.9,0.0
v2901,0.6,0.1
v2902,0.0,0.8
v2903,0.8,0.5
v2904,0.6,0.4
v2905,0.8,0.4
v2906,0.7,0.3
v2907,0.8,0.2
v2908,0.5,0.5
v2909,0.0,0.9
v2910,0.4,0.7
v2911,0.4,1.0
v2912,0.7,0.0
v2913,0.6,0.5
v2914,0.6,0.8
v2915,0.0,0.3
v2916,0.3,0.7
v2917,0.0,0.2
v2918,0.5,0.6
v2919,0.2,0.7
v2920,0.1,0.6
v2921,0.0,0.9
v2922,0.1,0.9
v2923,0.8,0.7
v2924,0.3,0.2
v2925,0.9,0.0
v2926,0.0,0.6
v2927,1.0,0.0
v2928,0.4,0.6
v2929,0.0,0.9
v2930,0.2,0.7
v2931,0.0,0.9
v2932,0.6,0.4
v2933,0.0,1.0
v2934,0.7,1.0
v2935,0.3,0.3
v2936,0.0,1.0
v2937,0.8,0.0
v2938,1.0,0.0
v2939,0.0,0.8
v2940,0.2,0.8
v2941,0.6,0.0
v2942,0.1,0.7
v2943,0.0,0.8
v2944,1.0,0.0
v2945,1.0,0.0
v2946,0.9,0.2
v2947,0.2,0.8
v2948,0.8,0.5
v2949,0.5,0.0
v2950,0.3,0.5
v2951,0.7,0.3
v2952,0.1,1.0
v2953,0.7,0.7
v2954,0.8,0.0
v2955,0.6,0.8
v2956,0.0,0.8
v2957,0.0,0.4
v2958,0.9,0.2
v2959,0.9,0.2
v2960,0.1,0.8
v2961,0.1,0.9
v2962,0.0,1.0
v2963,0.3,0.8
v2964,0.8,0.1
v2965,0.2,0.7
v2966,0.0,0.0
v2967,0.0,0.1
v2968,0.0,0.6
v2969,0.4,0.8
v2970,0.5,0.3
v2971,0.1,0.8
v2972,0.4,0.7
v2973,0.5,0.5
v2974,0.0,1.0
v2975,0.4,0.5
v2976,0.2,1.0
v2977,0.2,0.8
v2978,0.5,0.5
v2979,0.8,0.0
v2980,0.1,0.7
v2981,0.9,0.1
v2982,0.6,0.6
v2983,0.3,0.6
v2984,0.8,0.0
v2985,0.0,0.8
v2986,0.7,0.3
v2987,0.0,1.0
v2988,0.0,1.0
v2989,0.2,0.8
v2990,0.5,0.4
v2991,0.8,0.0
v2992,0.5,0.5
v2993,0.0,0.9
v2994,0.6,0.4
v2995,0.0,1.0
v2996,0.8,0.0
v2997,0.5,0.5
v2998,0.0,1.0
v2999,0.5,0.3
v3000,0.0,1.0
v3001,1.0,0.0
v3002,0.5,0.6
v3003,0.6,0.1
v3004,0.7,0.4
v3005,0.5,0.5
v3006,1.0,0.0
v3007,0.2,0.6
v3008,0.9,0.0
v3009,0.0,0.9
v3010,0.3,0.7
v3011,0.5,0.5
v3012,0.0,0.8
v3013,1.0,0.0
v3014,0.1,0.7
v3015,0.5,0.6
v3016,1.0,0.0
v3017,0.8,0.0
v3018,1.0,0.0
v3019,0.6,0.4
v3020,0.4,0.0
v3021,0.7,0.0
v3022,0.9,0.2
v3023,0.5,0.5
v3024,0.8,0.0
v3025,0.8,0.0
v3026,0.6,0.8
v3027,0.6,0.5
v3028,0.0,0.8
v3029,0.0,0.7
v3030,0.0,0.5
v3031,0.0,0.7
v3032,0.9,0.5
v3033,0.0,1.0
v3034,0.0,1.0
v3035,0.8,0.6
v3036,0.7,0.1
v3037,0.1,0.8
v3038,0.8,0.8
v3039,0.7,0.2
v3040,1.0,1.0
v3041,0.5,0.5
v3042,0.2,1.0
v3043,0.0,1.0
v3044,0.7,0.0
v3045,1.0,0.0
v3046,0.4,0.7
v3047,1.0,0.0
v3048,0.3,0.7
v3049,0.0,0.8
v3050,0.0,0.8
v3051,0.3,0.8
v3052,0.3,0.7
v3053,1.0,0.0
v3054,0.1,0.9
v3055,1.0,0.8
v3056,0.9,0.1
v3057,0.9,0.4
v3058,0.6,0.0
v3059,0.5,0.5
v3060,1.0,0.0
v3061,0.0,0.8
v3062,0.4,0.7
v3063,0.5,0.2
v3064,0.2,0.6
v3065,0.8,0.3
v3066,0.8,0.1
v3067,0.1,0.8
v3068,0.0,0.8
v3069,0.8,0.0
v3070,0.5,0.5
v3071,0.0,0.0
v3072,0.5,0.0
v3073,0.8,1.0
v3074,0.2,0.7
v3075,0.1,0.9
v3076,0.1,0.9
v3077,0.6,0.0
v3078,0.3,0.7
v3079,1.0,0.0
v3080,0.8,0.2
v3081,0.7,0.5
v3082,0.1,0.7
v3083,0.5,0.5
v3084,0.2,0.2
v3085,0.6,0.5
v3086,0.5,0.2
v3087,0.9,0.1
v3088,0.5,0.5
v3089,0.0,0.0
v3090,0.5,0.3
v3091,0.4,0.6
v3092,0.0,0.9
v3093,1.0,0.0
v3094,0.0,0.9
v3095,0.0,0.8
v3096,0.8,0.0
v3097,1.0,0.0
v3098,0.8,0.3
v3099,0.3,0.8
v3100,0.5,0.4
v3101,0.1,0.8
v3102,0.4,0.7
v3103,0.0,0.9
v3104,0.7,0.3
v3105,0.6,0.0
v3106,1.0,0.0
v3107,0.5,0.8
v3108,0.6,0.6
v3109,0.7,0.3
v3110,0.4,0.4
v3111,0.0,0.2
v3112,0.0,1.0
v3113,1.0,0.0
v3114,0.4,0.6
v3115,0.0,1.0
v3116,0.7,0.7
v3117,0.7,0.5
v3118,0.4,0.6
v3119,0.0,0.7
v3120,0.9,0.1
v3121,0.2,0.8
v3122,0.2,1.0
v3123,0.9,0.5
v3124,0.4,0.5
v3125,0.8,0.7
v3126,0.2,0.8
v3127,0.0,0.4
v3128,0.5,0.5
v3129,0.1,0.6
v3130,0.2,0.7
v3131,0.0,0.8
v3132,1.0,0.0
v3133,0.5,0.7
v3134,0.5,0.5
v3135,0.8,0.6
v3136,0.7,0.5
v3137,0.8,0.0
v3138,0.1,0.9
v3139,0.3,0.7
v3140,0.4,0.6
v3141,0.7,0.5
v3142,0.0,0.5
v3143,0.6,0.4
v3144,0.3,0.7
v3145,0.3,0.0
v3146,0.4,1.0
v3147,0.1,0.9
v3148,0.1,0.8
v3149,0.9,0.1
v3150,0.0,0.9
v3151,0.7,0.0
v3152,0.0,0.8
v3153,1.0,0.2
v3154,0.4,0.2
v3155,0.7,0.4
v3156,0.8,0.0
v3157,0.1,0.9
v3158,0.8,0.2
v3159,0.9,0.3
v3160,1.0,1.0
v3161,1.0,0.0
v3162,0.5,0.5
v3163,1.0,0.0
v3164,0.0,1.0
v3165,0.5,0.5
v3166,0.0,0.7
v3167,0.5,0.5
v3168,0.7,0.3
v3169,1.0,0.2
v3170,0.3,1.0
v3171,0.5,1.0
v3172,0.1,1.0
v3173,0.0,1.0
v3174,1.0,0.0
v3175,1.0,0.0
v3176,0.7,1.0
v3177,0.2,0.9
v3178,0.5,0.6
v3179,0.8,0.2
v3180,0.4,0.1
v3181,0.5,0.3
v3182,1.0,0.3
v3183,0.6,0.0
v3184,0.1,1.0
v3185,0.3,0.7
v3186,0.5,0.6
v3187,0.2,0.6
v3188,0.7,0.0
v3189,0.2,0.8
v3190,0.8,0.0
v3191,0.1,0.8
v3192,0.8,0.3
v3193,0.4,0.9
v3194,0.0,0.9
v3195,0.6,0.4
v3196,0.5,0.5
v3197,0.0,0.7
v3198,0.2,0.9
v3199,0.7,0.0
v3200,0.9,0.0
v3201,1.0,0.0
v3202,0.0,0.6
v3203,0.6,0.0
v3204,0.0,0.8
v3205,0.0,0.5
v3206,0.7,0.3
v3207,0.6,1.0
v3208,0.0,1.0
v3209,0.9,0.3
v3210,1.0,0.0
v3211,0.0,0.1
v3212,0.1,0.7
v3213,0.3,0.9
v3214,0.1,0.7
v3215,0.7,0.4
v3216,1.0,0.0
v3217,0.0,0.8
v3218,0.6,0.5
v3219,0.5,0.1
v3220,0.7,0.3
v3221,0.6,0.4
v3222,0.3,0.8
v3223,0.1,0.3
v3224,0.5,1.0
v3225,0.9,0.0
v3226,0.9,0.0
v3227,0.4,0.7
v3228,0.1,0.5
v3229,1.0,0.0
v3230,0.0,0.5
v3231,0.2,0.8
v3232,0.3,0.0
v3233,0.0,0.0
v3234,0.0,1.0
v3235,0.8,0.2
v3236,0.8,0.0
v3237,0.2,0.0
v3238,0.9,0.4
v3239,0.2,0.4
v3240,0.1,0.9
v3241,0.8,0.2
v3242,0.9,0.1
v3243,0.4,0.2
v3244,0.6,0.8
v3245,0.3,0.0
v3246,0.1,0.7
v3247,0.6,0.4
v3248,0.0,0.8
v3249,0.9,0.0
v3250,0.5,0.2
v3251,0.5,1.0
v3252,0.1,0.2
v3253,0.3,0.3
v3254,0.1,0.0
v3255,0.2,0.8
v3256,1.0,0.0
v3257,0.7,0.0
v3258,0.0,0.9
v3259,0.3,0.9
v3260,0.7,0.0
v3261,0.0,0.0
v3262,0.6,0.6
v3263,0.4,0.8
v3264,0.5,0.8
v3265,0.9,0.3
v3266,0.2,1.0
v3267,0.2,0.7
v3268,0.6,0.5
v3269,0.0,0.6
v3270,0.8,0.2
v3271,0.7,0.2
v3272,0.0,0.5
v3273,0.5,0.1
v3274,0.9,0.5
v3275,0.2,0.8
v3276,0.7,0.0
v3277,0.9,0.3
v3278,0.2,0.7
v3279,0.6,0.3
v3280,0.5,0.5
v3281,0.8,0.1
v3282,0.2,0.9
v3283,0.8,0.0
v3284,0.0,1.0
v3285,0.8,0.8
v3286,0.5,0.6
v3287,1.0,0.3
v3288,1.0,0.0
v3289,1.0,0.0
v3290,0.0,0.9
v3291,0.6,0.5
v3292,1.0,0.0
v3293,0.8,0.2
v3294,0.6,0.0
v3295,0.1,0.1
v3296,0.8,0.2
v3297,0.0,0.8
v3298,1.0,0.0
v3299,0.9,0.1
v3300,0.1,0.7
v3301,0.7,0.3
v3302,0.2,0.2
v3303,0.1,0.8
v3304,0.2,0.7
v3305,0.2,0.2
v3306,1.0,0.0
v3307,0.0,1.0
v3308,0.6,0.5
v3309,0.7,0.0
v3310,0.2,1.0
v3311,0.0,0.8
v3312,1.0,0.0
v3313,0.8,0.3
v3314,1.0,0.0
v3315,0.7,0.2
v3316,0.4,0.7
v3317,0.0,1.0
v3318,0.0,0.8
v3319,0.4,0.6
v3320,0.9,0.2
v3321,0.0,0.7
v3322,0.2,0.4
v3323,1.0,0.1
v3324,0.1,0.5
v3325,0.2,0.8
v3326,0.5,0.6
v3327,0.5,0.6
v3328,0.2,0.9
v3329,0.6,0.2
v3330,0.8,0.3
v3331,0.2,0.8
v3332,0.7,0.4
v3333,0.1,0.1
v3334,0.1,0.7
v3335,0.7,1.0
v3336,0.4,0.2
v3337,0.2,0.8
v3338,0.3,0.8
v3339,0.2,0.8
v3340,0.5,0.7
v3341,0.0,0.3
v3342,0.8,0.2
v3343,0.0,0.7
v3344,0.6,0.6
v3345,1.0,0.0
v3346,0.2,0.9
v3347,0.9,0.1
v3348,0.5,0.5
v3349,0.7,0.2
v3350,0.4,0.3
v3351,0.8,0.0
v3352,0.5,0.4
v3353,0.5,1.0
v3354,0.6,0.8
v3355,0.8,0.2
v3356,0.0,0.7
v3357,0.7,0.4
v3358,0.1,0.6
v3359,0.0,1.0
v3360,0.0,0.8
v3361,0.7,0.4
v3362,0.7,0.3
v3363,1.0,0.0
v3364,0.0,1.0
v3365,0.7,0.4
v3366,0.7,0.3
v3367,0.9,0.1
v3368,0.0,1.0
v3369,0.5,0.5
v3370,1.0,0.0
v3371,0.8,0.3
v3372,0.1,0.7
v3373,0.2,0.7
v3374,1.0,0.0
v3375,0.9,0.2
v3376,0.4,0.2
v3377,0.5,0.5
v3378,0.5,0.5
v3379,0.8,0.8
v3380,1.0,0.1
v3381,0.0,1.0
v3382,0.3,0.7
v3383,0.7,0.2
v3384,0.8,0.3
v3385,0.6,0.0
v3386,0.1,0.8
v3387,0.6,0.1
v3388,0.8,0.4
v3389,0.3,0.0
v3390,0.7,0.0
v3391,0.1,0.8
v3392,0.1,0.8
v3393,0.9,0.2
v3394,0.6,0.1
v3395,0.5,0.4
v3396,0.8,0.3
v3397,0.5,0.5
v3398,0.3,0.6
v3399,0.7,0.0
v3400,0.2,0.2
v3401,0.2,0.9
v3402,0.1,0.8
v3403,0.0,1.0
v3404,0.2,1.0
v3405,1.0,0.0
v3406,0.6,0.0
v3407,0.6,0.2
v3408,1.0,0.2
v3409,0.1,0.7
v3410,0.9,0.3
v3411,0.7,0.3
v3412,0.0,0.8
v3413,0.2,0.5
v3414,0.5,0.6
v3415,1.0,0.1
v3416,0.8,0.0
v3417,0.5,0.8
v3418,0.0,1.0
v3419,0.7,0.2
v3420,0.7,0.5
v3421,0.0,0.5
v3422,0.8,0.2
v3423,0.5,0.5
v3424,0.4,0.2
v3425,0.7,0.4
v3426,0.5,0.8
v3427,0.4,0.8
v3428,0.0,0.9
v3429,0.2,0.2
v3430,0.4,0.5
v3431,0.7,0.7
v3432,0.3,0.0
v3433,0.5,0.8
v3434,0.1,0.9
v3435,0.0,0.9
v3436,0.3,0.7
v3437,0.0,0.1
v3438,0.4,0.7
v3439,0.5,0.7
v3440,0.6,0.6
v3441,0.8,0.7
v3442,0.0,1.0
v3443,1.0,0.5
v3444,0.5,0.5
v3445,0.5,0.5
v3446,0.5,0.6
v3447,0.5,0.7
v3448,0.0,0.6
v3449,0.7,0.4
v3450,0.2,0.8
v3451,0.7,0.5
v3452,0.3,0.5
v3453,0.0,1.0
v3454,0.0,0.0
v3455,0.4,0.3
v3456,1.0,0.0
v3457,0.1,0.8
v3458,1.0,0.7
v3459,0.5,0.7
v3460,0.5,1.0
v3461,0.8,0.0
v3462,0.0,1.0
v3463,0.8,0.2
v3464,1.0,0.0
v3465,0.2,0.4
v3466,1.0,0.0
v3467,0.4,0.7
v3468,0.2,0.8
v3469,0.4,0.8
v3470,0.5,0.8
v3471,0.0,0.7
v3472,0.0,1.0
v3473,1.0,0.2
v3474,0.4,0.4
v3475,0.0,1.0
v3476,0.3,0.5
v3477,0.5,0.8
v3478,0.1,0.6
v3479,0.2,0.7
v3480,0.9,0.4
v3481,0.0,0.4
v3482,0.5,0.5
v3483,1.0,0.4
v3484,0.1,1.0
v3485,0.2,0.9
v3486,0.9,0.0
v3487,0.2,0.4
v3488,0.9,0.1
v3489,0.0,0.9
v3490,0.9,0.0
v3491,0.2,0.8
v3492,0.0,0.9
v3493,0.7,0.2
v3494,0.0,0.0
v3495,0.0,0.8
v3496,0.6,0.1
v3497,0.4,0.9
v3498,0.7,0.0
v3499,0.1,0.8
v3500,0.0,0.8
v3501,0.0,0.0
v3502,0.3,0.5
v3503,1.0,0.0
v3504,0.4,0.6
v3505,0.4,0.5
v3506,0.0,0.7
v3507,0.5,0.5
v3508,0.7,0.3
v3509,0.8,0.0
v3510,1.0,0.1
v3511,0.0,0.9
v3512,0.1,0.7
v3513,0.2,0.6
v3514,1.0,0.0
v3515,1.0,0.0
v3516,0.2,0.8
v3517,0.8,0.2
v3518,0.3,0.3
v3519,0.3,0.7
v3520,1.0,0.0
v3521,0.0,0.8
v3522,0.0,0.9
v3523,0.7,0.3
v3524,0.0,0.4
v3525,0.3,0.3
v3526,0.0,0.3
v3527,0.1,0.9
v3528,0.0,0.8
v3529,0.4,0.8
v3530,0.3,0.6
v3531,0.0,0.2
v3532,0.8,0.3
v3533,1.0,0.0
v3534,0.2,0.7
v3535,0.3,0.7
v3536,0.7,0.1
v3537,0.1,0.8
v3538,0.5,0.4
v3539,0.6,0.4
v3540,0.0,0.8
v3541,0.9,0.1
v3542,0.5,0.3
v3543,0.2,0.3
v3544,1.0,0.0
v3545,0.7,0.5
v3546,0.4,0.4
v3547,0.9,0.0
v3548,0.8,0.2
v3549,0.8,0.6
v3550,0.0,1.0
v3551,0.7,0.4
v3552,0.6,0.4
v3553,0.1,0.8
v3554,0.5,0.3
v3555,0.8,0.4
v3556,0.0,0.7
v3557,1.0,0.0
v3558,0.7,0.2
v3559,0.2,0.8
v3560,0.8,0.2
v3561,0.5,0.3
v3562,0.0,0.3
v3563,0.0,0.8
v3564,0.6,0.1
v3565,0.3,0.8
v3566,1.0,0.0
v3567,0.3,0.7
v3568,0.6,0.5
v3569,0.3,0.7
v3570,1.0,0.4
v3571,0.4,0.6
v3572,0.0,0.7
v3573,0.5,0.2
v3574,0.8,0.1
v3575,0.0,0.3
v3576,0.3,0.8
v3577,1.0,0.0
v3578,0.2,0.7
v3579,0.6,0.9
v3580,0.7,0.8
v3581,0.4,0.3
