,A,B,C,F
v1453,0.6,0.5,0.7,0.0
v1454,0.7,0.8,0.6,0.7
v1455,0.7,0.0,0.8,0.0
v1456,0.0,0.9,0.0,0.8
v1457,0.5,0.8,0.4,0.4
v1458,1.0,0.0,1.0,0.6
v1459,0.7,0.3,0.4,0.2
v1460,1.0,0.0,0.8,0.0
v1461,0.7,1.0,0.0,0.8
v1462,1.0,0.5,0.8,0.5
v1463,0.7,0.8,0.1,0.7
v1464,0.7,0.0,0.8,0.0
v1465,0.6,0.4,0.5,0.5
v1466,0.8,0.2,0.8,0.5
v1467,1.0,0.0,1.0,0.0
v1468,0.5,1.0,0.0,1.0
v1469,0.4,0.6,0.3,0.5
v1470,0.7,0.4,0.6,0.5
v1471,0.7,0.3,0.7,0.3
v1472,0.9,0.4,1.0,0.0
v1473,0.6,0.3,0.6,0.2
v1474,0.5,0.1,0.6,0.1
v1475,0.0,0.9,0.3,0.6
v1476,0.5,0.5,0.2,0.5
v1477,0.3,0.6,0.0,0.5
v1478,0.5,0.2,0.7,0.5
v1479,0.3,0.3,0.5,0.3
v1480,0.5,0.5,0.4,
v1481,0.2,0.9,0.3,0.4
v1482,0.5,0.5,0.5,0.5
v1483,0.8,0.8,0.0,0.9
v1484,0.4,0.8,0.0,1.0
v1485,0.2,0.5,0.0,0.8
v1486,0.9,0.4,0.9,0.0
v1487,0.7,0.0,0.9,0.0
v1488,0.3,0.0,0.5,0.0
v1489,0.7,0.3,0.8,0.3
v1490,0.2,0.0,0.3,0.5
v1491,0.8,0.0,1.0,0.1
v1492,0.8,0.4,0.0,0.0
v1493,0.4,0.7,0.0,0.7
v1494,0.8,0.4,0.7,0.2
v1495,0.3,0.8,0.4,0.7
v1496,0.6,0.2,0.7,0.3
v1497,0.5,0.8,0.1,0.6
v1498,1.0,0.0,0.9,0.0
v1499,1.0,0.0,0.5,0.1
v1500,0.0,0.8,0.0,0.8
v1501,0.7,0.5,0.7,0.5
v1502,0.5,0.5,0.6,0.4
v1503,0.6,,,
v1504,0.7,0.3,0.7,0.0
v1505,0.3,0.6,0.2,0.5
v1506,0.8,0.0,1.0,0.0
v1507,0.0,0.1,0.1,0.0
v1508,0.5,0.0,0.4,0.5
v1509,0.8,0.2,0.9,0.1
v1510,0.7,0.8,0.8,0.4
v1511,0.5,0.2,0.6,0.5
v1512,0.7,0.2,0.4,0.0
v1513,1.0,0.5,0.1,0.3
v1514,0.1,0.8,0.0,0.8
v1515,0.0,0.7,0.0,0.7
v1516,1.0,0.0,0.1,0.3
v1517,0.5,0.0,0.6,0.0
v1518,1.0,0.0,0.9,0.0
v1519,0.5,0.2,0.7,0.1
v1520,0.6,0.8,0.0,0.8
v1521,0.5,0.7,0.8,0.5
v1522,0.6,0.6,0.5,0.4
v1523,1.0,0.0,0.8,0.0
v1524,0.8,0.8,1.0,0.8
v1525,0.3,0.8,0.2,0.6
v1526,0.0,0.0,0.0,0.0
v1527,0.7,0.1,0.6,0.0
v1528,0.8,0.1,0.9,0.1
v1529,0.6,0.1,0.9,0.0
v1530,0.8,0.2,0.6,0.0
v1531,0.0,0.5,0.0,0.0
v1532,0.2,0.2,0.5,0.2
v1533,0.1,0.0,0.4,0.0
v1534,0.9,0.1,1.0,0.1
v1535,0.0,0.8,0.0,0.8
v1536,0.8,0.0,0.8,0.0
v1537,0.4,0.8,0.4,0.5
v1538,0.0,0.0,0.0,0.0
v1539,0.2,0.5,0.0,0.8
v1540,0.0,0.8,0.0,0.9
v1541,0.8,0.6,0.8,0.4
v1542,1.0,0.8,0.5,0.5
v1543,0.5,1.0,0.3,0.9
v1544,0.1,0.8,0.0,0.8
v1545,0.7,0.1,0.9,0.0
v1546,0.7,0.4,0.7,
v1547,0.3,0.7,0.0,0.5
v1548,0.0,0.0,0.0,0.0
v1549,0.0,0.1,0.0,0.0
v1550,0.6,0.0,0.2,0.5
v1551,1.0,0.0,0.5,0.1
v1552,0.0,0.7,0.5,0.5
v1553,0.8,0.0,1.0,0.0
v1554,0.1,0.8,0.0,1.0
v1555,0.4,0.6,0.0,0.8
v1556,0.0,1.0,0.0,0.8
v1557,0.6,0.0,1.0,0.0
v1558,1.0,0.0,0.9,0.0
v1559,1.0,0.4,0.9,0.2
v1560,0.8,0.0,0.7,0.0
v1561,0.8,0.5,0.5,0.5
v1562,0.8,0.0,0.8,0.4
v1563,0.8,0.4,0.4,0.2
v1564,0.1,0.5,0.0,0.4
v1565,0.6,0.4,0.7,0.5
v1566,0.7,0.7,0.7,0.6
v1567,0.5,0.1,1.0,0.0
v1568,0.5,0.0,1.0,0.0
v1569,0.5,0.5,0.5,0.5
v1570,0.7,0.7,0.3,0.3
v1571,0.6,0.8,0.0,0.8
v1572,0.0,1.0,0.0,1.0
v1573,0.7,0.5,0.7,0.5
v1574,0.0,1.0,0.5,0.5
v1575,1.0,0.3,1.0,0.2
v1576,0.9,0.6,0.9,0.4
v1577,0.6,0.6,0.4,0.6
v1578,0.6,0.7,0.7,0.4
v1579,0.7,0.3,0.8,0.0
v1580,0.0,0.3,0.0,0.5
v1581,0.0,1.0,0.0,1.0
v1582,0.7,0.6,0.6,0.6
v1583,0.5,0.7,0.4,0.6
v1584,0.4,1.0,0.6,0.8
v1585,0.6,0.2,0.8,0.1
v1586,0.9,0.0,0.9,0.0
v1587,1.0,0.0,0.9,0.0
v1588,0.7,0.2,0.7,0.0
v1589,0.4,0.7,0.2,0.7
v1590,0.7,0.4,0.7,0.3
v1591,0.5,0.0,0.0,0.0
v1592,0.6,0.0,0.4,0.0
v1593,0.6,0.0,0.5,0.0
v1594,0.6,0.9,0.8,0.7
v1595,0.7,0.2,0.9,0.0
v1596,0.5,0.7,0.4,0.9
v1597,0.7,0.2,0.5,0.2
v1598,0.1,1.0,0.0,0.9
v1599,0.5,0.3,0.3,0.3
v1600,0.5,0.2,0.8,0.0
v1601,0.7,0.7,0.0,0.7
v1602,0.8,0.3,0.7,0.3
v1603,0.5,0.5,0.2,0.5
v1604,1.0,0.1,0.9,0.1
v1605,0.8,0.0,0.5,0.0
v1606,0.3,0.9,0.0,0.9
v1607,0.5,0.5,0.7,0.5
v1608,0.1,0.7,0.0,1.0
v1609,0.6,0.6,0.2,0.1
v1610,0.9,0.0,0.6,0.0
v1611,0.2,0.7,0.5,0.5
v1612,0.5,0.9,0.5,0.5
v1613,0.9,,0.8,0.3
v1614,0.4,0.0,0.6,0.0
v1615,0.5,0.3,0.5,0.3
v1616,0.4,0.4,0.4,0.4
v1617,0.7,0.6,0.6,0.5
v1618,0.4,0.4,0.4,0.4
v1619,0.8,0.6,0.8,0.2
v1620,0.7,0.0,0.9,0.0
v1621,0.1,0.9,0.0,0.9
v1622,0.3,0.8,0.0,0.7
v1623,0.5,0.5,0.5,0.5
v1624,0.6,0.1,0.6,0.5
v1625,0.6,0.4,0.8,0.4
v1626,0.6,0.5,0.8,0.3
v1627,0.7,0.2,1.0,0.0
v1628,1.0,0.3,0.5,0.3
v1629,0.7,0.2,0.7,0.0
v1630,1.0,0.0,0.0,0.0
v1631,0.0,0.3,0.0,0.4
v1632,0.8,0.3,0.6,0.2
v1633,0.0,1.0,0.5,0.5
v1634,0.3,0.8,0.6,0.5
v1635,0.7,0.0,1.0,0.0
v1636,0.0,0.0,0.3,0.4
v1637,0.7,0.9,0.7,0.7
v1638,1.0,0.3,0.7,0.4
v1639,0.7,0.0,1.0,0.0
v1640,0.5,0.7,0.4,0.6
v1641,0.6,0.5,0.5,0.4
v1642,0.2,0.5,0.0,0.3
v1643,1.0,0.0,1.0,0.0
v1644,1.0,0.5,0.8,0.3
v1645,0.6,0.3,0.8,0.3
v1646,0.8,0.3,0.8,0.0
v1647,0.7,0.0,0.9,0.0
v1648,0.6,0.6,0.2,0.3
v1649,0.7,0.3,0.3,0.3
v1650,0.7,0.0,0.8,0.0
v1651,0.2,0.4,0.0,0.4
v1652,0.4,0.2,0.7,0.2
v1653,0.3,1.0,0.1,0.8
v1654,0.5,0.0,0.5,0.0
v1655,0.4,0.3,0.5,0.3
v1656,0.4,0.8,0.1,0.8
v1657,0.5,0.5,0.5,0.5
v1658,0.7,,0.8,
v1659,0.7,0.3,0.5,0.2
v1660,0.2,0.7,0.0,0.9
v1661,0.8,0.0,0.9,0.0
v1662,0.4,0.1,0.5,0.2
v1663,0.4,0.7,0.0,0.7
v1664,0.2,0.7,0.2,0.6
v1665,0.1,0.2,0.0,0.4
v1666,0.0,0.6,0.0,0.5
v1667,0.7,0.0,0.7,0.0
v1668,0.6,0.4,0.9,0.3
v1669,0.2,1.0,0.0,1.0
v1670,0.6,0.0,1.0,0.0
v1671,1.0,0.3,0.8,0.4
v1672,0.4,1.0,0.0,0.8
v1673,0.3,0.6,0.0,0.3
v1674,0.7,0.0,0.8,0.0
v1675,0.7,0.0,0.8,0.3
v1676,0.6,0.4,0.6,0.0
v1677,0.9,0.3,0.6,0.2
v1678,0.8,0.0,0.7,0.0
v1679,0.1,0.8,0.0,1.0
v1680,0.7,0.8,0.6,0.5
v1681,0.9,0.2,0.8,0.2
v1682,0.4,0.7,0.2,0.5
v1683,1.0,0.1,1.0,0.1
v1684,0.1,0.5,0.6,0.3
v1685,0.8,0.0,0.8,0.0
v1686,0.0,0.9,0.0,0.9
v1687,0.7,0.4,0.9,
v1688,0.8,0.4,0.8,0.4
v1689,0.8,0.4,0.6,0.4
v1690,0.5,1.0,0.0,1.0
v1691,0.8,0.4,0.9,0.3
v1692,0.7,0.6,0.7,0.4
v1693,0.8,0.0,1.0,0.2
v1694,0.0,0.7,0.0,0.8
v1695,,0.0,0.8,0.2
v1696,0.8,0.6,0.7,0.6
v1697,0.0,0.0,0.0,0.0
v1698,0.7,0.2,0.8,0.2
v1699,0.3,0.6,0.3,0.7
v1700,0.0,0.0,0.1,0.0
v1701,0.2,1.0,0.0,0.9
v1702,0.5,0.7,0.4,0.5
v1703,0.5,0.5,0.5,0.5
v1704,0.9,0.6,0.4,0.5
v1705,0.4,0.4,0.4,0.4
v1706,0.6,0.6,0.6,0.6
v1707,0.5,0.9,0.6,0.6
v1708,0.5,0.0,0.5,0.0
v1709,1.0,0.0,0.7,0.0
v1710,0.4,0.9,0.0,0.8
v1711,0.6,0.5,0.6,0.5
v1712,0.5,0.8,0.0,0.9
v1713,0.8,0.6,0.8,0.2
v1714,0.5,0.2,0.7,0.1
v1715,1.0,0.2,1.0,0.0
v1716,0.7,0.6,0.2,0.2
v1717,0.5,0.8,0.0,0.8
v1718,0.9,0.3,0.5,0.3
v1719,0.7,0.2,0.8,0.2
v1720,0.5,0.5,0.5,0.5
v1721,0.0,1.0,0.0,1.0
v1722,0.7,0.3,0.5,0.2
v1723,1.0,0.0,1.0,0.0
v1724,0.6,0.6,0.4,0.7
v1725,0.7,0.0,0.9,0.0
v1726,0.8,0.2,0.9,0.5
v1727,1.0,0.4,0.8,0.5
v1728,0.2,0.6,0.0,0.7
v1729,0.0,0.8,0.1,0.6
v1730,0.7,0.1,1.0,0.0
v1731,0.3,0.7,0.0,0.8
v1732,0.5,1.0,0.5,0.5
v1733,0.3,0.2,1.0,0.4
v1734,0.7,0.0,0.6,0.0
v1735,1.0,0.2,0.8,0.2
v1736,0.5,0.5,0.5,0.5
v1737,0.7,0.8,0.5,0.7
v1738,0.2,0.8,0.2,0.7
v1739,0.5,0.7,0.1,0.6
v1740,0.2,0.8,0.0,0.9
v1741,0.5,0.6,0.5,0.3
v1742,0.0,1.0,0.0,0.7
v1743,0.6,0.8,0.5,0.5
v1744,0.8,0.8,0.5,0.2
v1745,0.6,0.0,0.4,0.0
v1746,0.4,0.9,0.5,0.7
v1747,1.0,0.5,1.0,0.5
v1748,1.0,0.0,0.7,0.0
v1749,0.8,0.0,0.8,0.1
v1750,0.7,0.2,0.4,0.1
v1751,1.0,0.0,0.9,0.0
v1752,0.1,1.0,0.0,0.5
v1753,1.0,0.0,1.0,0.0
v1754,0.8,0.5,0.6,0.5
v1755,0.5,0.7,0.0,0.7
v1756,0.8,0.2,0.9,0.2
v1757,0.2,0.0,0.8,0.0
v1758,0.8,0.0,1.0,0.0
v1759,0.1,0.1,0.3,0.1
v1760,0.5,0.5,0.5,0.5
v1761,0.7,0.8,0.6,1.0
v1762,0.7,0.5,0.0,0.5
v1763,0.7,0.0,0.8,0.0
v1764,0.7,0.0,0.8,0.0
v1765,0.7,0.5,0.5,0.5
v1766,0.8,0.7,0.8,0.3
v1767,0.0,0.8,0.0,0.8
v1768,1.0,0.1,1.0,0.0
v1769,1.0,0.0,0.8,0.0
v1770,0.6,0.3,0.7,0.3
v1771,0.0,0.0,0.0,0.0
v1772,0.5,0.5,0.2,0.5
v1773,1.0,0.0,1.0,0.0
v1774,0.9,0.5,0.9,0.5
v1775,0.7,0.1,0.9,0.3
v1776,0.2,0.8,0.2,0.8
v1777,0.2,0.4,0.3,0.5
v1778,0.8,0.0,0.8,0.0
v1779,0.1,0.4,0.0,0.6
v1780,0.4,0.8,0.2,0.5
v1781,0.7,0.3,0.6,0.2
v1782,0.8,0.2,0.5,0.3
v1783,0.5,0.1,0.5,0.5
v1784,0.7,0.3,0.5,0.4
v1785,0.5,0.8,0.7,0.6
v1786,0.3,0.8,0.4,0.7
v1787,0.5,0.5,0.5,0.5
v1788,0.5,,0.5,0.5
v1789,0.3,1.0,0.0,1.0
v1790,0.0,1.0,0.0,1.0
v1791,0.6,0.0,0.1,0.1
v1792,0.8,0.6,0.8,0.6
v1793,0.5,0.0,0.5,0.0
v1794,0.9,0.3,0.9,0.3
v1795,0.5,0.4,0.6,0.4
v1796,0.6,0.3,0.6,0.1
v1797,0.5,0.4,0.7,0.3
v1798,0.5,0.5,0.5,0.5
v1799,0.7,0.3,0.8,0.2
v1800,0.0,0.8,0.0,1.0
v1801,0.8,0.5,0.9,0.4
v1802,0.7,0.3,0.6,0.6
v1803,0.7,0.3,0.9,0.1
v1804,0.7,0.1,1.0,0.1
v1805,0.9,0.2,0.9,0.0
v1806,0.6,0.4,0.4,0.3
v1807,0.5,0.5,0.5,0.5
v1808,0.8,0.5,0.8,0.5
v1809,0.6,0.3,0.7,0.2
v1810,0.9,0.0,1.0,0.0
v1811,0.0,0.0,0.0,0.0
v1812,0.0,1.0,0.0,1.0
v1813,0.6,0.0,1.0,0.0
v1814,0.6,0.0,0.4,0.0
v1815,0.0,0.9,0.0,0.7
v1816,0.6,0.0,0.7,0.0
v1817,0.0,0.0,0.4,0.0
v1818,0.5,1.0,0.2,0.7
v1819,0.6,0.4,0.2,0.4
v1820,0.3,0.2,0.4,0.1
v1821,0.2,0.8,0.0,0.7
v1822,0.3,0.9,0.6,0.9
v1823,0.9,0.5,0.8,0.4
v1824,0.3,0.3,0.3,0.1
v1825,0.0,0.6,0.0,0.9
v1826,0.7,0.7,0.5,0.5
v1827,0.0,0.5,0.3,1.0
v1828,0.4,0.5,0.0,0.6
v1829,0.6,0.0,0.5,0.0
v1830,0.5,0.5,0.5,0.5
v1831,0.7,0.5,0.7,0.5
v1832,0.8,0.3,1.0,0.0
v1833,0.7,0.5,0.4,0.6
v1834,0.9,0.4,0.7,0.5
v1835,0.8,0.4,1.0,0.2
v1836,0.0,0.7,0.0,0.7
v1837,0.2,0.7,0.0,0.8
v1838,0.6,0.7,0.1,0.6
v1839,0.5,0.5,0.1,0.5
v1840,1.0,0.1,0.9,0.1
v1841,0.8,0.1,0.5,0.5
v1842,0.7,0.9,0.6,0.7
v1843,0.2,0.7,0.0,0.6
v1844,0.0,1.0,0.5,1.0
v1845,0.9,0.0,0.9,0.0
v1846,0.1,0.1,0.1,0.1
v1847,0.8,0.0,0.8,0.0
v1848,0.3,0.6,0.3,0.4
v1849,0.8,0.0,0.8,0.0
v1850,0.6,0.7,0.3,0.1
v1851,0.6,0.0,0.8,0.0
v1852,0.3,1.0,0.5,0.5
v1853,0.3,0.7,0.2,0.7
v1854,0.7,0.5,0.4,0.4
v1855,0.6,0.0,0.8,0.0
v1856,0.6,0.2,0.7,0.1
v1857,0.8,0.5,0.8,0.4
v1858,0.3,0.9,0.0,0.0
v1859,0.8,0.6,0.9,0.5
v1860,0.1,0.1,0.6,0.1
v1861,0.1,1.0,0.0,0.9
v1862,0.2,0.0,0.0,0.0
v1863,0.8,0.5,0.9,0.3
v1864,0.6,0.9,0.3,0.8
v1865,0.8,0.3,0.5,0.2
v1866,0.9,0.2,0.6,0.2
v1867,0.5,1.0,0.5,1.0
v1868,0.6,0.1,0.8,0.1
v1869,0.0,0.8,0.0,0.8
v1870,0.5,0.5,0.5,0.5
v1871,0.3,0.1,0.3,0.1
v1872,0.3,0.3,0.3,0.3
v1873,0.5,0.8,0.3,0.9
v1874,0.7,0.4,0.5,0.5
v1875,0.7,0.5,0.8,0.6
v1876,0.1,1.0,0.0,0.9
v1877,0.1,1.0,0.0,1.0
v1878,0.5,0.0,0.7,0.0
v1879,0.3,0.3,0.3,0.3
v1880,0.7,0.3,0.9,0.2
v1881,1.0,0.0,0.5,0.0
v1882,0.5,0.5,0.5,0.5
v1883,0.5,0.5,0.6,
v1884,0.9,0.8,0.5,0.3
v1885,0.7,0.5,0.9,0.2
v1886,0.5,0.8,0.5,0.5
v1887,0.1,0.2,0.1,0.2
v1888,0.5,0.6,0.2,0.5
v1889,0.7,0.9,0.5,0.5
v1890,0.2,0.9,0.0,0.7
v1891,0.6,0.5,0.8,0.5
v1892,0.5,0.7,0.6,0.6
v1893,0.7,0.9,0.2,0.8
v1894,0.9,0.3,0.8,0.1
v1895,0.5,0.5,0.3,0.3
v1896,1.0,0.0,1.0,0.0
v1897,0.8,0.3,0.6,0.0
v1898,0.6,0.0,0.6,0.0
v1899,0.9,0.2,0.8,0.3
v1900,0.7,0.0,1.0,0.0
v1901,0.8,0.1,0.9,0.3
v1902,0.3,0.4,0.4,0.3
v1903,0.9,0.8,0.9,0.0
v1904,0.8,0.2,0.3,0.1
v1905,0.9,0.0,0.7,0.0
v1906,0.7,0.3,0.9,0.3
v1907,0.6,0.0,0.8,0.0
v1908,0.4,0.8,0.5,0.5
v1909,0.5,0.0,0.7,0.0
v1910,0.8,0.6,0.3,0.5
v1911,1.0,0.0,0.9,0.0
v1912,0.3,0.6,0.0,0.6
v1913,1.0,0.6,0.6,0.6
v1914,0.7,0.5,0.5,0.7
v1915,0.8,0.4,0.6,0.2
v1916,0.5,0.8,0.5,0.5
v1917,0.8,0.0,0.7,0.0
v1918,0.8,0.3,0.8,0.3
v1919,1.0,0.2,0.7,0.0
v1920,0.2,0.7,0.6,0.4
v1921,1.0,0.2,1.0,0.0
v1922,0.1,0.6,0.2,0.6
v1923,0.5,0.5,0.5,0.5
v1924,0.0,1.0,0.0,1.0
v1925,0.8,0.8,0.6,0.7
v1926,0.2,1.0,0.1,0.8
v1927,0.6,0.7,0.4,0.5
v1928,0.6,0.0,0.9,0.0
v1929,0.8,0.6,0.7,0.4
v1930,0.9,0.5,0.6,0.3
v1931,1.0,1.0,1.0,1.0
v1932,0.7,0.0,1.0,0.0
v1933,0.5,0.5,0.5,0.5
v1934,0.0,1.0,0.3,1.0
v1935,0.7,0.6,0.7,0.0
v1936,0.0,0.0,0.7,0.5
v1937,0.8,0.3,0.8,0.2
v1938,0.9,0.8,0.7,0.4
v1939,0.5,0.5,0.5,0.3
v1940,0.6,0.0,0.7,0.0
v1941,0.1,0.8,0.0,0.7
v1942,0.5,0.5,0.6,0.6
v1943,0.5,0.3,0.8,0.2
v1944,0.2,0.0,0.7,0.0
v1945,0.1,0.5,0.9,0.5
v1946,0.9,0.0,1.0,0.0
v1947,0.3,0.7,0.3,0.3
v1948,0.1,0.9,0.0,0.8
v1949,0.3,0.2,0.0,0.2
v1950,0.4,0.5,0.2,0.9
v1951,0.2,1.0,0.0,1.0
v1952,0.4,0.5,0.5,0.4
v1953,0.5,0.6,0.3,0.5
v1954,0.8,0.2,1.0,0.2
v1955,0.8,0.3,0.3,0.5
v1956,1.0,0.0,0.7,0.0
v1957,0.0,0.0,0.0,0.1
v1958,0.3,0.6,0.3,0.7
v1959,0.8,0.0,0.7,0.0
v1960,0.7,0.2,0.6,0.2
v1961,0.5,0.2,0.2,0.2
v1962,0.0,1.0,0.0,1.0
v1963,1.0,0.0,0.8,0.0
v1964,0.8,0.8,0.6,0.6
v1965,0.7,0.5,1.0,
v1966,0.9,0.8,0.9,0.8
v1967,0.0,0.9,0.0,0.9
v1968,0.9,0.0,0.8,0.0
v1969,0.4,0.4,0.4,0.3
v1970,0.5,0.8,0.7,0.5
v1971,0.5,0.5,0.3,0.5
v1972,1.0,0.4,0.8,0.3
v1973,0.7,0.5,0.7,0.5
v1974,0.0,1.0,0.0,1.0
v1975,1.0,0.5,0.3,0.3
v1976,0.6,0.0,0.8,0.0
v1977,0.5,0.9,0.1,1.0
v1978,0.4,0.4,0.8,0.0
v1979,0.7,0.0,0.7,0.0
v1980,0.5,0.9,0.3,0.7
v1981,0.7,0.5,1.0,0.5
v1982,0.6,0.5,0.7,0.3
v1983,0.0,0.0,0.0,0.0
v1984,0.2,0.9,0.0,0.9
v1985,0.1,0.9,0.0,0.8
v1986,0.1,0.7,0.0,0.3
v1987,0.5,0.8,0.5,
v1988,0.5,1.0,0.0,0.7
v1989,0.8,0.0,1.0,0.0
v1990,0.6,0.0,0.9,0.0
v1991,0.2,0.8,0.0,0.8
v1992,0.5,0.5,0.5,0.5
v1993,0.7,0.0,1.0,0.0
v1994,0.7,0.5,0.7,0.5
v1995,1.0,0.2,1.0,0.0
v1996,0.2,1.0,0.0,0.9
v1997,0.6,0.5,0.6,0.5
v1998,0.7,0.6,0.7,0.6
v1999,0.8,0.0,1.0,0.0
v2000,0.5,0.5,0.7,0.5
v2001,0.5,0.7,0.4,0.5
v2002,0.0,0.2,0.0,0.2
v2003,0.5,0.2,0.7,0.2
v2004,0.8,0.2,0.8,0.2
v2005,0.5,0.5,0.4,0.0
v2006,0.6,0.6,0.6,0.6
v2007,1.0,0.3,0.7,0.3
v2008,1.0,0.1,1.0,0.1
v2009,0.8,0.4,0.5,
v2010,0.8,0.0,0.7,0.0
v2011,0.7,0.7,0.5,0.6
v2012,0.7,0.3,0.6,0.0
v2013,1.0,0.8,0.0,0.7
v2014,0.0,0.7,0.0,0.7
v2015,0.6,0.9,0.6,0.8
v2016,0.5,0.5,0.5,0.5
v2017,0.5,0.7,0.1,0.6
v2018,1.0,0.3,1.0,0.3
v2019,0.6,0.3,0.7,0.4
v2020,0.0,0.0,0.0,0.0
v2021,0.5,0.5,0.7,0.5
v2022,0.7,0.1,1.0,0.0
v2023,0.7,0.3,0.7,
v2024,1.0,0.0,0.0,0.1
v2025,0.8,0.3,0.5,0.3
v2026,0.6,0.7,0.6,0.6
v2027,0.4,0.9,0.1,0.7
v2028,0.4,0.5,0.7,0.5
v2029,0.8,0.0,1.0,0.0
v2030,1.0,0.1,1.0,0.1
v2031,0.8,0.3,0.8,0.0
v2032,0.8,0.2,1.0,0.1
v2033,0.5,0.2,0.0,0.2
v2034,1.0,0.0,0.5,0.0
v2035,1.0,0.0,1.0,0.2
v2036,0.6,0.7,0.4,0.5
v2037,0.2,0.8,0.1,0.8
v2038,0.8,0.3,1.0,0.1
v2039,1.0,0.2,0.6,0.1
v2040,0.3,1.0,0.5,0.4
v2041,0.0,0.2,0.0,0.6
v2042,0.8,0.4,0.6,0.4
v2043,0.6,0.6,0.6,0.5
v2044,0.5,0.5,0.4,0.5
v2045,1.0,0.0,0.8,0.0
v2046,0.7,0.2,0.9,0.0
v2047,0.8,0.7,0.7,0.5
v2048,1.0,0.0,0.6,0.0
v2049,0.7,0.0,0.5,0.0
v2050,0.1,1.0,0.1,0.7
v2051,0.8,0.4,0.7,0.4
v2052,0.5,1.0,0.0,1.0
v2053,0.8,0.3,0.7,0.3
v2054,0.3,0.7,0.1,0.7
v2055,0.6,0.4,0.6,0.0
v2056,0.5,0.5,0.0,0.5
v2057,0.7,0.2,0.8,0.2
v2058,0.6,0.5,0.4,0.3
v2059,0.8,0.4,0.8,0.2
v2060,0.6,0.4,0.5,0.5
v2061,0.0,0.5,0.0,0.7
v2062,0.0,0.8,0.0,0.5
v2063,0.5,0.0,0.1,0.0
v2064,0.6,0.8,0.1,0.8
v2065,0.5,0.7,0.2,0.6
v2066,0.7,0.9,0.6,0.8
v2067,0.5,0.8,0.0,0.8
v2068,0.8,0.0,1.0,0.0
v2069,0.8,0.5,,
v2070,1.0,0.0,0.8,0.0
v2071,0.0,1.0,0.5,0.0
v2072,0.4,0.0,1.0,0.0
v2073,0.1,1.0,0.0,1.0
v2074,1.0,0.4,0.7,0.2
v2075,0.6,0.0,0.7,0.0
v2076,0.6,0.8,0.4,0.8
v2077,0.5,0.7,0.3,0.6
v2078,0.2,0.0,0.4,0.0
v2079,0.9,0.3,0.8,0.2
v2080,0.7,0.5,0.5,0.5
v2081,0.5,1.0,0.5,0.5
v2082,0.6,0.5,0.3,0.5
v2083,0.4,0.9,0.4,0.6
v2084,0.9,0.0,0.8,0.5
v2085,0.9,0.5,0.7,0.2
v2086,0.0,0.6,0.0,0.8
v2087,0.7,0.0,0.7,0.5
v2088,0.7,0.0,0.8,0.1
v2089,0.8,0.8,0.7,0.6
v2090,0.7,0.0,0.6,0.1
v2091,0.8,0.0,0.7,0.0
v2092,1.0,0.0,0.0,0.0
v2093,0.5,0.1,0.6,0.1
v2094,0.7,0.1,0.1,0.5
v2095,0.8,0.1,0.8,0.2
v2096,0.3,1.0,0.1,0.8
v2097,0.8,0.0,1.0,0.0
v2098,0.7,0.3,0.8,0.1
v2099,0.6,0.4,0.6,0.4
v2100,0.0,0.7,0.0,0.5
v2101,0.5,0.2,0.0,0.0
v2102,0.3,0.6,0.2,0.5
v2103,0.3,0.0,0.8,0.0
v2104,0.4,0.8,0.0,0.6
v2105,0.0,0.0,0.0,0.0
v2106,0.0,0.6,0.0,0.3
v2107,0.9,0.1,1.0,0.1
v2108,0.5,0.4,0.5,0.2
v2109,0.6,0.0,0.7,0.0
v2110,1.0,0.0,0.0,0.0
v2111,0.7,0.1,0.8,0.0
v2112,0.9,0.7,1.0,0.5
v2113,0.0,0.0,0.1,0.0
v2114,0.6,0.2,0.1,0.1
v2115,0.5,0.0,0.7,0.0
v2116,0.9,0.0,0.3,0.0
v2117,0.5,0.5,0.5,0.5
v2118,0.2,0.1,0.6,0.4
v2119,0.2,0.7,0.0,0.7
v2120,0.8,0.2,0.8,0.3
v2121,0.4,0.9,0.3,0.8
v2122,0.8,0.0,0.9,0.0
v2123,0.5,0.5,0.2,0.5
v2124,0.0,1.0,0.0,1.0
v2125,0.7,0.3,0.6,0.2
v2126,0.8,0.0,1.0,0.0
v2127,0.6,0.5,0.7,0.4
v2128,0.7,0.6,0.7,0.6
v2129,0.7,0.7,0.7,0.1
v2130,0.9,0.1,0.9,0.3
v2131,0.5,0.3,0.4,0.0
v2132,0.8,0.6,0.7,0.6
v2133,0.2,0.8,0.0,0.6
v2134,0.7,0.2,0.7,0.0
v2135,0.5,0.0,0.7,0.2
v2136,0.5,0.5,0.5,0.5
v2137,0.0,0.9,0.0,0.9
v2138,0.7,0.1,0.7,0.4
v2139,0.8,0.6,0.1,0.5
v2140,0.2,0.9,0.0,0.9
v2141,0.6,0.0,0.4,0.0
v2142,0.0,0.7,0.0,1.0
v2143,1.0,0.0,1.0,0.0
v2144,0.5,1.0,0.5,0.9
v2145,0.8,0.2,0.8,0.2
v2146,0.5,0.6,0.5,0.2
v2147,0.2,0.7,0.3,0.6
v2148,0.9,0.0,0.7,0.0
v2149,0.7,0.9,0.1,0.7
v2150,0.6,0.9,0.5,1.0
v2151,0.1,0.9,0.2,0.9
v2152,1.0,0.0,0.5,0.0
v2153,1.0,0.0,0.5,0.0
v2154,0.7,0.4,0.6,0.5
